Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To

0	(Not Applicable)		N/A	5172	13515	72839	14400	1954	2023
41	Aqua	BCE5DC	Solid	82	60	1300	149	1998	2006
11	Black	212121	Solid	12411	12858	17433	12768	1957	2023
7	Blue	0057A6	Solid	4144	8493	7435	4604	1950	2023
97	Blue-Violet	506CEF	Solid	38	19	883	61	2004	2005
36	Bright Green	10CB31	Solid	731	2155	2463	813	1950	2023
105	Bright Light Blue	BCD1ED	Solid	526	634	2249	587	2004	2023
110	Bright Light Orange	FFC700	Solid	1237	1879	2803	1313	2003	2023
103	Bright Light Yellow	FFF08C	Solid	526	975	2210	581	2004	2023
104	Bright Pink	F7BCDA	Solid	647	1366	1652	701	2003	2023
8	Brown	6B3F22	Solid	582	1098	3497	962	1974	2006
227	Clikits Lavender	E0AAD9	Solid	10	12	510	15	2005	2005
220	Coral	FF8172	Solid	209	358	710	216	2019	2023
153	Dark Azure	009FE0	Solid	801	1094	1964	847	2011	2023
63	Dark Blue	243757	Solid	2362	2253	4530	2458	1961	2023
109	Dark Blue-Violet	2032B0	Solid	9	7	1057	20	2004	2006
85	Dark Bluish Gray	595D60	Solid	4124	6820	7979	4606	1991	2023
120	Dark Brown	50372F	Solid	798	1817	2906	848	2007	2023
10	Dark Gray	6B5A5A	Solid	1055	1707	4111	1501	1961	2023
80	Dark Green	2E5543	Solid	936	1143	3127	1023	1961	2023
225	Dark Nougat	CE7942	Solid	3	10	841	51	2001	2004
242	Dark Olive Green	76753F	Solid			161	1		
68	Dark Orange	B35408	Solid	810	1863	2356	865	1994	2023
47	Dark Pink	EF5BB3	Solid	795	1350	1602	867	1994	2023
89	Dark Purple	5F2683	Solid	1052	1330	2283	1166	2003	2023
59	Dark Red	6A0E15	Solid	1775	1948	4108	1854	1961	2023
231	Dark Salmon	FF6326	Solid	5	4	140	5	2003	2003
69	Dark Tan	B89869	Solid	1185	2545	3175	1232	1961	2023
39	Dark Turquoise	00A29F	Solid	722	901	1769	791	1998	2023
161	Dark Yellow	DD982E	Solid	5	5	711	20	2004	2005
29	Earth Orange	E6881D	Solid	44	88	947	59	1982	2005
106	Fabuland Brown	B3694E	Solid	7	26	1252	16	1979	1991
248	Fabuland Lime	ADD237	Solid	9	5	227	9	1982	1986
160	Fabuland Orange	EF9121	Solid	2	3	459	3	1983	1987
6	Green	00923D	Solid	2106	5495	4797	2424	1949	2023
154	Lavender	D3BDE3	Solid	378	546	899	435	2011	2023
152	Light Aqua	CFEFEA	Solid	512	641	997	533	2011	2023
62	Light Blue	C8D9E1	Solid	19	18	832	89	1950	2007
86	Light Bluish Gray	AFB5C7	Solid	4727	7408	8589	5303	1993	2023
91	Light Brown	99663E	Solid	40	28	1662	92	2002	2006
9	Light Gray	9C9C9C	Solid	1867	3205	5689	2492	1954	2008
38	Light Green	D7EED1	Solid	64	57	601	115	1992	2005
246	Light Lilac	CDCCEE	Solid	1	1	54	1	2004	2004
35	Light Lime	ECEEBD	Solid	20	16	479	45	1992	2007
90	Light Nougat	FECCB0	Solid	1897	1824	3374	1919	2004	2023
32	Light Orange	FFBC36	Solid	18	18	481	67	1998	2004
56	Light Pink	F2D3D1	Solid	1	1	495	54	2007	2007
93	Light Purple	AF3195	Solid	26	19	611	56	2003	2006
26	Light Salmon	FCC7B7	Solid	51	23	427	56	1997	2002
40	Light Turquoise	00C5BC	Solid	59	40	769	80	1998	2004
44	Light Violet	C9CAE2	Solid	69	38	330	87	1994	2002
33	Light Yellow	FEE89F	Solid	102	70	1174	160	1994	2005
245	Lilac	7862CE	Solid	6	6	263	6	2004	2005
34	Lime	C4E000	Solid	1828	2773	2964	1978	1993	2023
247	Little Robots Blue	5DBFE4	Solid	2	2	35		2003	2004
72	Maersk Blue	7DC1D8	Solid	84	14	629	104	1974	2011
71	Magenta	B72276	Solid	638	1079	1500	695	2000	2023
156	Medium Azure	6ACEE0	Solid	949	1614	1937	994	2012	2023
